dim blocks threads naive shared
800 70 8 0.152352 0.160768
800 70 12 0.280224 0.308224
800 70 16 0.282336 0.318464
800 70 20 0.275456 0.320512
800 70 24 0.275392 0.313344
800 70 28 0.280480 0.328704
800 70 32 0.272096 0.356352
800 80 4 0.235328 0.326656
800 80 8 0.151552 0.165888
800 80 12 0.297376 0.342016
800 80 16 0.281248 0.308224
800 80 20 0.291200 0.314368
800 80 24 0.275456 0.307200
800 80 28 0.274432 0.331776
800 80 32 0.272352 0.351232
800 90 4 0.228832 0.297984
800 90 8 0.152576 0.158720
800 90 12 0.289472 0.313344
800 90 16 0.269312 0.297984
800 90 20 0.274912 0.332800
800 90 24 0.275456 0.318464
800 90 28 0.273984 0.342016
800 90 32 0.274208 0.352256
800 100 4 0.212640 0.282624
800 100 8 0.151552 0.156672
800 100 12 0.287360 0.282624
800 100 16 0.287744 0.302080
800 100 20 0.284064 0.312320
800 100 24 0.278176 0.313344
800 100 28 0.275232 0.340992
800 100 32 0.274240 0.339968
900 10 4 1.596416 2.578432
900 10 8 0.476896 0.741376
900 10 12 0.394240 0.566272
900 10 16 0.376128 0.477184
900 10 20 0.369664 0.460800
900 10 24 0.378528 0.457728
900 10 28 0.379904 0.451584
900 10 32 0.398784 0.476160
900 20 4 0.811968 1.294336
900 20 8 0.302944 0.437248
900 20 12 0.380704 0.403456
900 20 16 0.372256 0.405504
900 20 20 0.363200 0.416768
900 20 24 0.433664 0.481280
900 20 28 0.374304 0.425984
900 20 32 0.366464 0.440320
900 30 4 0.603040 0.890880
900 30 8 0.247104 0.347136
900 30 12 0.371712 0.389120
900 30 16 0.368288 0.380928
900 30 20 0.371712 0.501760
900 30 24 0.375744 0.406528
900 30 28 0.370688 0.435200
900 30 32 0.362496 0.443392
900 40 4 0.457696 0.684032
900 40 8 0.225760 0.282624
900 40 12 0.373696 0.385024
900 40 16 0.366272 0.382976
900 40 20 0.368512 0.403456
900 40 24 0.398336 0.427008
900 40 28 0.367040 0.433152
900 40 32 0.365312 0.442368
900 50 4 0.414720 0.573440
900 50 8 0.208736 0.240640
900 50 12 0.382752 0.391168
900 50 16 0.362144 0.419840
900 50 20 0.377856 0.413696
900 50 24 0.353600 0.444416
900 50 28 0.376416 0.437248
900 50 32 0.369568 0.437248
900 60 4 0.345024 0.506880
900 60 8 0.207872 0.222208
900 60 12 0.373760 0.385024
900 60 16 0.363040 0.411680
900 60 20 0.365376 0.405504
900 60 24 0.368640 0.405504
900 60 28 0.374784 0.433152
900 60 32 0.366592 0.443424
900 70 4 0.343392 0.448512
900 70 8 0.210464 0.227328
900 70 12 0.355232 0.459776
900 70 16 0.375136 0.364544
900 70 20 0.363520 0.434176
900 70 24 0.353152 0.406528
900 70 28 0.352224 0.429056
900 70 32 0.343040 0.444416
900 80 4 0.302080 0.406528
900 80 8 0.210944 0.210944
900 80 12 0.389056 0.445440
900 80 16 0.365568 0.374784
900 80 20 0.365280 0.412672
900 80 24 0.357952 0.407584
900 80 28 0.353280 0.448512
900 80 32 0.349152 0.448512
900 90 4 0.301632 0.380928
900 90 8 0.205600 0.216064
900 90 12 0.377376 0.410624
900 90 16 0.349568 0.433152
900 90 20 0.349696 0.408576
900 90 24 0.376832 0.404480
900 90 28 0.353088 0.434176
900 90 32 0.345536 0.439296
900 100 4 0.272384 0.353280
900 100 8 0.202752 0.210944
900 100 12 0.386784 0.416768
900 100 16 0.353888 0.405504
900 100 20 0.377376 0.407552
900 100 24 0.355328 0.418816
900 100 28 0.351232 0.442368
900 100 32 0.348160 0.430080
1000 10 4 1.974848 3.189760
1000 10 8 0.589664 0.900096
1000 10 12 0.491520 0.677888
1000 10 16 0.444160 0.537600
